id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
31	beijing	0.3971	0.5209	1	149	259	23	2020.8696	39.0435	1.3418
32	benefit	-0.3409	-0.5341	2	138	219	24	2021.25	20.9167	1.2094
33	best performance	-0.1538	0.6926	3	109	154	12	2021.5833	16.0833	0.8225
34	biomass	0.7212	-0.5617	1	100	156	15	2020.4	21.5333	1.0744
35	bpnn	-0.3809	0.6069	3	132	190	13	2021.5385	23.9231	0.8684
36	building	0.6529	-0.4262	1	90	131	14	2020.0714	23.7143	1.0578
37	cadmium	-1.1564	0.1296	3	86	140	13	2022.5385	12.9231	1.1947
38	cams	1.0592	-0.5343	1	85	154	13	2020.5385	21.8462	0.9211
39	carbon dioxide	0.2867	-0.6596	2	120	190	16	2022.4375	9.9375	0.999
40	carbon emission	0.071	-0.5832	2	92	131	18	2022.3889	12.6111	1.687
41	carbon monoxide	0.9597	-0.3585	1	140	291	21	2020.8571	15.5238	0.6326
42	chemical oxygen demand	-1.1352	0.4708	3	108	254	16	2022.375	23.125	2.0338
43	chlorophyll	-1.1149	0.3925	3	139	370	25	2022.28	35.08	2.1046
44	classification	-0.5056	-0.474	2	208	561	66	2021.9091	24.697	1.3427
45	classifier	-0.6107	-0.4838	2	148	302	29	2022.2414	10.7586	0.7259
46	climate change	0.1128	-0.4951	2	250	666	57	2021.6491	17.9123	0.969
47	cloud	0.0887	-0.6684	2	171	349	36	2021.0556	12.1944	0.4875
48	cloud contamination	0.1083	-0.0553	2	123	237	22	2021.9091	40.3636	1.6451
49	co2	0.3252	-0.6621	2	98	148	14	2022.1429	12.0714	0.7154
50	cod	-1.1327	0.4466	3	113	260	16	2022.25	17	1.6531
51	coefficient	-0.3918	0.4157	3	293	1485	112	2021.8571	17.9821	0.8254
52	complex terrain	1.2704	-0.192	1	88	153	12	2020.6667	15.9167	0.6421
53	consequence	-0.0605	-0.4663	2	134	214	21	2021.2857	22.1429	1.5281
54	contamination	-0.6797	-0.2333	2	229	809	90	2021.8222	14.3111	1.2746
55	correlation analysis	-0.7949	0.339	3	125	206	16	2021.8125	16.3125	0.5653
56	correlation coefficient	0.2334	0.2945	1	253	710	53	2020.8113	21.3962	0.9614
57	cost	-0.3832	-0.2899	2	214	467	53	2021.1132	31.2453	1.3666
58	crop	-1.0127	-0.1695	3	150	335	29	2021.5862	14.6897	0.8799
59	cross validation	0.987	0.3496	1	197	617	52	2021.1154	35.8654	1.3667
60	crucial role	-0.2894	-0.4579	2	137	194	15	2022.9333	3.4	0.9342
61	data analysis	-0.0608	-0.5272	2	140	246	33	2021.6061	18.6364	1.7943
62	decade	0.1429	-0.3526	2	232	627	61	2021.6885	34.6557	1.7422
63	december	0.5519	0.3595	1	132	216	15	2022.4	19	1.3273
64	decision maker	0.0076	-0.1151	2	105	155	18	2021.1667	30.3889	1.4544
65	decision making	-0.0473	-0.3551	2	131	235	29	2021.1379	25.6897	1.1897
66	decision tree	-0.2701	0.0217	2	121	177	16	2021.1875	27.625	1.037
67	deep learning	-0.336	-0.2607	2	237	629	74	2022	32.5	1.8893
68	deep neural network	-0.471	0.3544	3	177	331	27	2021.6667	46.7407	2.0574
69	degradation	-0.4535	-0.4163	2	173	369	37	2021.5405	24.2973	1.7549
70	determination	-0.3535	0.5353	3	271	1018	74	2021.973	21.3243	0.9628
71	device	-0.0317	-0.4788	2	142	236	31	2021	16.9032	0.6807
72	direction	0.177	-0.3341	2	212	474	55	2021.8545	23.1818	1.7643
73	dispersion	1.0128	-0.299	1	167	478	45	2020.6222	16.0889	0.6355
74	dnn	-0.4195	0.4679	3	153	252	19	2022.1053	30.1579	1.2769
75	dust	0.42	-0.2349	1	154	266	26	2020.6923	18.4231	0.7198
76	dynamic monitoring	-0.6632	-0.0675	3	113	154	14	2022.5	12.2857	0.981
77	earth	0.239	-0.6567	2	175	358	32	2021.8438	16.5938	0.9566
78	ecological environment	-0.8763	-0.107	3	142	215	16	2022.625	8.8125	0.8914
79	ecosystem	-0.4697	-0.2418	2	248	724	69	2022	19.3913	1.3616
80	effective monitoring	-0.8839	0.025	3	130	196	15	2022.6	14.2667	0.9801
81	elevation	0.3753	0.137	1	124	170	14	2020.6429	28.5714	1.1731
82	emission inventory	0.8833	-0.4854	1	150	305	23	2021.5217	13.913	0.8141
83	energy	-0.0868	-0.6605	2	123	198	23	2021.6522	13.0435	0.7055
84	environmental condition	-0.5946	-0.5524	2	100	148	14	2022	7.5	1.2248
85	environmental monitoring	-0.663	-0.388	2	182	383	42	2022.2857	13.4762	1.0647
86	environmental pollution	-0.5662	-0.5813	2	151	322	36	2021.25	21	1.2715
87	environmental protection	-0.6579	0.0716	3	155	237	24	2021.2917	11.7083	0.6862
88	epidemiological study	1.114	0.4798	1	119	268	22	2020.1364	48.6818	1.4989
89	estimation accuracy	-0.2155	0.6928	3	120	188	17	2021.6471	11.5294	0.7202
90	estimation model	-0.781	0.5133	3	173	382	28	2022.2857	17.9643	0.831
91	extreme gradient	0.1246	0.6157	3	168	305	21	2022.0952	18.6667	1.1255
92	extreme gradient boosting	-0.1206	0.6037	3	139	224	13	2023.7692	3.3077	0.7002
93	feasibility	-0.5187	0.2138	3	188	325	27	2021.963	15	1.0206
94	fine particulate matter	0.8732	0.4989	1	185	525	42	2021.9524	24.6667	1.1839
95	fire	0.5045	-0.6008	1	123	203	20	2020.9	17.6	0.758
96	fold cross validation	0.5485	0.6553	1	135	238	18	2022.2222	29.2778	1.1397
97	forecast	0.8253	-0.3438	1	179	424	42	2020.7381	16.4048	0.85
98	forecasting model	0.6666	-0.419	1	143	252	25	2020.52	11.52	0.6816
99	future research	-0.382	-0.5481	2	133	208	17	2023	13.5882	1.8744
100	geographic information system	0.1166	-0.1786	2	193	477	52	2021.0192	16.3846	1.0611
101	geographical information system	0.0982	-0.1903	2	89	139	12	2020.1667	20	0.8027
102	gis	0.0563	-0.1744	2	216	640	81	2020.8148	14.4815	0.7794
103	global scale	0.3305	-0.4909	2	127	198	16	2021.375	24.75	1.2965
104	global warming	0.0093	-0.7834	2	99	155	14	2022.4286	8.0714	0.8029
105	good agreement	0.8134	0.3589	1	136	237	17	2020.8824	38.7059	1.2579
106	good performance	-0.1111	0.5639	3	141	231	18	2022	17.7222	1.3217
107	gradient	-0.2489	0.3156	3	218	468	34	2021.8824	17.7353	0.8105
108	great potential	-0.8977	0.0042	3	107	153	12	2022.0833	16.25	1.0031
109	greenhouse gase	0.3592	-0.6112	2	107	157	14	2021.3571	17.1429	1.0575
110	grid	0.5678	0.2474	1	187	348	29	2021.3793	18.6897	0.7655
111	ground	0.6687	-0.0064	1	271	1298	113	2021.2743	21.3097	0.893
112	ground level	0.7941	0.7209	1	141	370	27	2020.8148	44.0741	1.4498
113	ground measurement	0.9982	0.4232	1	115	197	15	2022.4	17.1333	0.9407
114	groundwater	-0.1802	0.022	2	90	160	25	2021.16	22	0.7665
115	health effect	1.139	0.3429	1	130	314	25	2020.16	56.08	1.6925
116	health impact	0.8943	0.1225	1	115	197	17	2020.8824	65.8235	2.6424
117	health risk	0.4842	-0.1841	1	153	268	27	2021.963	11.8519	1.2822
118	heavy metal	-1.2198	0.0712	3	178	605	51	2021.902	15.1765	1.0058
119	heavy metal content	-1.3853	0.1148	3	97	280	19	2022.3684	6.0526	0.5944
120	heavy metal pollution	-1.2626	0.0274	3	138	381	29	2021.7931	9	0.5709
121	high concentration	0.3888	0.5003	1	103	137	12	2022.8333	10.25	1.0487
122	high precision	-0.2432	-0.2418	2	112	161	12	2021.9167	38.25	1.6034
123	high spatial resolution	0.6143	0.0228	1	193	422	34	2021.6765	24.8235	0.9554
124	higher accuracy	-0.3529	0.522	3	133	184	18	2021.7778	13.8889	0.8375
125	highest accuracy	-0.4762	0.4049	3	118	178	13	2022.3846	11.4615	0.8359
126	himawari	0.0684	0.6698	3	105	195	14	2022.9286	13.7857	0.8849
127	http	0.0928	-0.5808	2	88	124	13	2022.3077	15.5385	1.1196
128	hyperspectral data	-1.3323	0.125	3	104	227	19	2021.3158	7.8421	0.7964
129	hyperspectral image	-1.1881	0.1936	3	101	197	16	2022	18.8125	1.0184
130	hyperspectral remote sensing	-1.343	0.0328	3	108	250	24	2021	10.5	0.6406
131	image	-0.5953	-0.2022	2	298	1597	161	2021.8696	15.5963	0.8568
132	imagery	-0.4486	-0.1026	2	288	1195	108	2021.9444	20.6574	0.9934
133	industrial activity	0.1505	-0.2546	2	101	148	12	2022.4167	20.6667	2.2027
134	input variable	-0.1324	0.4664	3	120	165	15	2021.8667	16.2667	0.9846
135	integration	-0.1343	-0.4819	2	224	561	59	2022.0169	16.9831	1.1184
136	inversion	-0.6469	0.2287	3	244	732	55	2022.3455	7.9636	0.8481
137	inversion model	-1.1626	0.3591	3	143	365	24	2022.625	8.4583	1.0548
138	iot	-0.2281	-0.6044	2	137	273	33	2021.6364	26.6364	1.637
139	iran	-0.0231	0.1855	2	135	210	18	2020.8889	17.5	1.092
140	january	0.8693	0.1915	1	111	185	16	2020.9375	27.6875	1.6272
141	km resolution	0.8578	0.3221	1	120	195	13	2022.1538	13.4615	0.6633
142	lake	-0.8812	0.1301	3	173	431	36	2022.4722	22.3611	1.3569
143	land cover	0.5664	-0.1137	1	142	228	21	2020.7619	24.2381	0.8591
144	land use regression	0.9504	0.5233	1	117	235	19	2020.1579	29.8947	0.8844
145	landsat	-0.6352	0.0638	2	215	620	51	2021.8431	18.7843	1.0657
146	large amount	-0.7425	-0.1096	3	126	186	19	2021.6316	20.8947	0.9465
147	large area	-0.9879	-0.1049	3	133	221	20	2022.4	13.65	0.7641
148	large scale	-0.4194	0.4155	3	194	411	28	2022.7143	22.6429	1.5329
149	light	0.1369	-0.4559	2	113	153	19	2022.1579	17.7895	1.5717
150	limited number	0.6007	0.5014	1	101	162	14	2022.9286	13.4286	1.2243
151	linear regression	-0.2727	0.2907	3	162	258	22	2021.7727	17.1364	1.1383
152	long term	0.7057	0.4308	1	152	314	26	2022.1154	42.7692	1.5616
153	low cost	-0.8757	-0.2491	2	102	141	13	2021.9231	8.7692	0.7204
154	lst	0.7443	-0.1432	1	82	131	12	2021.5833	27.4167	1.3792
155	lur	1.008	0.5832	1	103	200	15	2020.1333	30.6	0.9287
156	machine learning algorithm	-0.4227	0.1162	2	213	460	40	2022.35	18.35	1.2399
157	mae	-0.037	0.5011	3	231	593	49	2022.4694	13.6939	0.921
158	mape	-0.3101	0.4462	3	156	242	20	2022.7	11.85	1.0242
159	march	0.546	-0.0989	1	130	184	15	2021.9333	9.7333	0.8488
160	marine environment	-0.548	-0.7464	2	63	96	14	2022.2143	13.2143	0.828
161	mean square error	0.0538	0.4793	3	109	150	13	2021.7692	10.7692	0.6167
162	meteorological condition	1.0294	0.1868	1	156	329	27	2021.1111	13.7037	0.7526
163	meteorological data	0.5256	0.4362	1	200	425	35	2021.7429	23.3714	1.0818
164	meteorological factor	0.7277	0.6082	1	111	182	16	2021.4375	20.0625	0.6334
165	meteorological parameter	0.8491	0.4059	1	156	334	25	2021.28	28.68	1.0526
166	meteorological variable	1.1361	0.3027	1	131	230	15	2019.9333	37.0667	1.5022
167	meteorology	0.9138	0.1481	1	179	423	31	2020.7419	36.4194	1.1434
168	methane	0.1973	-0.6504	2	118	207	18	2022.2222	13.5556	0.8344
169	mg l	-0.7972	0.6267	3	122	263	16	2022.5	10	1.0838
170	min	0.355	-0.1798	1	94	144	13	2020.3846	12.0769	0.8758
171	mining area	-1.2737	-0.0049	3	112	215	16	2022.875	7.6875	0.6916
172	mlr	-0.1215	0.4188	3	132	209	17	2021.4706	28.5294	1.1704
173	model performance	0.6795	0.4318	1	227	625	50	2021.04	40.5	1.6267
174	moderate resolution imaging spectroradiometer	0.8431	0.1986	1	197	565	41	2020.4146	41.2683	1.1625
175	modis	0.7534	0.1092	1	213	645	48	2020.2708	42.0417	1.2582
176	monitoring station	0.6686	0.4692	1	241	941	77	2021.3636	17.2208	0.9332
177	multi source data	-0.4734	0.4804	3	104	134	12	2022.75	19.25	1.1513
178	multiple linear regression	-0.298	0.4133	3	166	313	25	2021.44	26.44	1.1588
179	nasa	0.5657	-0.5169	1	108	168	16	2020.0625	12.4375	0.5837
180	ndvi	0.206	0.2023	1	144	262	20	2021.6	17.5	0.8835
181	night	0.3841	-0.4195	1	113	163	15	2020.7333	19.0667	0.6748
182	nitrogen	-0.8539	0.3958	3	170	400	28	2022.0357	17.3929	1.3883
183	nitrogen dioxide	1.0975	0.0269	1	191	570	41	2021.6098	14.0244	0.7893
184	no2	1.0402	-0.0373	1	245	1223	97	2021.0928	18.433	0.8369
185	noise	-0.4092	-0.465	2	161	283	33	2022.0303	6.3939	0.506
186	normalized difference vegetation index	0.4044	0.278	1	151	277	19	2021.7368	24.8947	1.039
187	nox	0.8494	-0.5256	1	124	219	18	2021.2778	10.1667	0.5135
188	ocean	0.3303	-0.4336	1	153	247	23	2020.8261	16.1739	0.6959
189	oil	-0.2308	-0.6969	2	118	203	23	2021.3913	11.7391	0.7985
190	oil spill	-0.5032	-0.7274	2	84	168	23	2020.6087	16.5217	0.7373
191	omi	1.2816	-0.0436	1	126	265	19	2020.6842	14	0.4885
192	optimization	-0.1981	-0.0837	2	168	289	30	2022.2	18.7667	1.4179
193	organic matter	-1.1062	0.2453	3	122	225	16	2021.6875	53.25	3.3295
194	overall accuracy	-0.5707	-0.3455	2	157	357	33	2022.0606	25.5152	1.1554
195	oxygen	-0.9076	0.463	3	143	316	21	2022.3333	28	2.0604
196	ozone	1.0177	0.0752	1	199	607	53	2021.717	11.6604	0.6425
197	ozone monitoring instrument	1.2673	-0.014	1	129	259	18	2021	14.2778	0.5245
198	particulate matter	0.8916	0.3107	1	213	802	67	2020.5821	38.3731	1.232
199	person	-0.0842	-0.2589	2	181	351	39	2021.0769	22.7692	0.8792
200	plant	-0.6828	-0.3939	2	168	314	34	2021.7353	11.4118	0.7448
201	plsr	-1.3703	0.2857	3	112	314	23	2021.5217	19.3043	0.764
202	plume	0.6167	-0.6777	1	137	295	30	2021.3333	13.8667	0.6515
203	pm10	1.0959	0.1626	1	168	493	40	2021.35	14.875	0.6549
204	pm25	0.9075	0.5106	1	214	755	59	2020.9492	36.6949	1.1437
205	pmsub25	0.758	0.651	1	175	487	39	2021	47.6154	1.6002
206	pmsub25 sub	0.6715	0.6403	1	188	619	50	2020.72	36.5	1.2304
207	pollution source	-0.3851	0.2716	3	230	568	47	2021.4255	10.6596	0.7942
208	population	0.6032	-0.0943	1	214	507	52	2021.1731	29.8846	1.0483
209	population density	0.2733	0.4696	1	121	182	13	2021.0769	36	1.3564
210	power plant	0.6607	-0.5226	1	106	155	18	2020.9444	20.1111	0.7848
211	ppb	1.1026	-0.0777	1	116	218	13	2021.6923	15.6154	0.6822
212	practice	-0.4213	-0.5712	2	166	405	46	2022.587	17.2174	1.7233
213	pre	-0.682	-0.1135	3	138	212	17	2022.3529	11.7059	0.7752
214	precipitation	0.4258	0.2629	1	164	273	22	2022	11.9091	0.8193
215	precision	-0.519	-0.2376	2	224	513	46	2021.8043	17.1304	0.9005
216	prediction result	-0.586	0.0829	3	124	185	21	2021.1905	18.8571	0.6373
217	predictor	0.6236	0.4401	1	228	741	58	2020.8793	33.4483	1.1587
218	predictor variable	0.5175	0.2541	1	110	192	16	2021.3125	31.5	1.5581
219	processing	-0.2353	-0.5372	2	194	446	52	2021.0192	16.4615	1.0813
220	production	-0.0354	-0.5345	2	219	515	52	2022.0192	14.1154	1.1683
221	proposed method	-0.3974	-0.0427	3	123	182	14	2021.4286	16.1429	0.899
222	prospect	0.0015	-0.7697	2	114	178	16	2022.25	23.8125	1.9039
223	random forest	-0.2406	0.3703	3	291	1348	106	2022.5283	15.9717	1.0226
224	random forest model	0.2917	0.3037	1	163	284	22	2021.7727	25	1.4574
225	rapid development	-0.1935	-0.4461	2	131	191	15	2022.2667	13.1333	0.8587
226	real time monitoring	-0.3036	-0.1648	2	168	268	29	2021.3793	15.8276	0.6948
227	recall	-0.7177	-0.3627	2	88	142	14	2022.2143	13.2143	0.851
228	regression	-0.5574	0.4259	3	256	911	78	2021.3846	23.5897	1.0196
229	regression model	0.0701	0.4832	1	235	619	52	2021.0577	29.5769	1.3726
230	relative humidity	0.8546	0.3618	1	162	408	27	2020.7778	29.7407	0.8531
231	remote sensing image	-0.9011	-0.0592	3	194	539	53	2022.1887	10.4906	0.6803
232	remote sensing technique	-0.5862	-0.1192	2	182	358	36	2021.9722	20.5833	1.3545
233	remote sensing technology	-0.9323	0.109	3	222	621	49	2022.3878	9.0408	0.795
234	retrieval	0.1928	0.1204	1	257	892	73	2021.1096	29.2877	1.2265
235	rf model	-0.2912	0.5112	3	161	273	20	2023.2	8.65	0.8368
236	river	-0.8952	0.3244	3	216	768	59	2022.4407	17.9661	1.1896
237	road	0.7855	-0.1407	1	156	346	33	2020.4848	26.6667	0.9788
238	robustness	-0.413	0.1045	3	163	277	24	2021.7917	13.875	0.6066
239	root	0.1962	0.4031	1	258	840	63	2021.4921	17.9524	0.8711
240	root mean square error	-0.1061	0.2624	3	239	595	48	2021.8125	16.5625	0.8896
241	rpd	-1.2825	0.3715	3	94	194	12	2022.5	15	0.9014
242	rural area	0.6232	0.3317	1	147	272	19	2022.4737	20.9474	1.5169
243	safety	-0.8671	-0.2952	3	157	341	35	2021.5429	16.2857	1.6116
244	sampling	-0.8435	-0.0422	3	213	515	38	2022.1579	14.6842	1.3393
245	sar	-0.5006	-0.747	2	113	211	22	2021.9091	14.5	0.727
246	satellite data	0.4812	-0.0233	1	311	1790	154	2021.487	21.9545	0.9223
247	satellite observation	0.756	-0.1669	1	171	357	33	2020.3939	31.2727	1.1424
248	satellite remote sensing	0.4491	-0.1097	1	230	621	55	2021.3636	30.4	1.1861
249	satellite remote sensing data	0.4916	-0.0569	1	105	157	15	2021.3333	35.9333	1.5468
250	satellite retrieval	0.9572	-0.1945	1	112	185	12	2020.8333	12.4167	0.6586
251	satellite sensor	-0.0952	-0.4547	2	156	257	20	2022.1	10.35	0.5775
252	season	0.2562	0.201	1	268	882	66	2021.3182	25.0909	0.9958
253	september	0.3806	-0.2158	1	140	206	16	2020.9375	19.125	0.6538
254	ship	-0.1421	-0.8357	2	63	86	14	2020.7143	22.4286	0.8227
255	short term	0.9872	0.2093	1	112	188	13	2021.3077	12.2308	0.615
256	simulation	0.7483	-0.2933	1	246	843	88	2020.1364	23.0114	0.8992
257	so2	0.9543	-0.2177	1	185	476	41	2020.8293	15.1707	0.6208
258	society	-0.2525	-0.5244	2	103	147	17	2021.0588	11.5294	0.6307
259	soil	-1.0398	-0.0352	3	234	1025	92	2021.8478	15.2174	1.1053
260	soil heavy metal	-1.2271	0.2081	3	94	216	19	2021.8421	20.5263	1.3525
261	soil moisture	-0.4124	-0.2216	2	83	121	14	2020.7857	28.6429	0.9697
262	soil sample	-1.2687	0.1866	3	134	376	29	2022.2414	12.4138	0.853
263	spatial heterogeneity	-0.4437	-0.0112	2	99	127	12	2021.5	49.8333	1.9033
264	spatial pattern	0.3505	-0.0397	1	132	194	19	2021.5263	22.5789	0.986
265	spatial resolution	0.4239	0.14	1	270	1079	90	2021.6	27.3444	1.083
266	spatial variability	0.3865	-0.0051	1	140	235	20	2021.65	18.95	0.9472
267	spatiotemporal variation	0.8791	0.539	1	121	211	16	2021.1875	16.6875	0.7623
268	spectra	-1.308	0.0925	3	158	519	42	2020.6667	26.7619	1.0025
269	spectral band	-0.554	-0.0706	2	128	193	16	2021.9375	36.25	1.5311
270	spectral data	-1.2291	0.0429	3	98	193	16	2021.8125	16.3125	0.9979
271	spectral index	-1.1107	0.006	3	125	249	20	2021.65	27.45	1.0496
272	spectrum	-1.0127	-0.0792	3	172	379	30	2021.6	10.9333	0.6331
273	spring	0.4579	0.6435	1	172	383	26	2020.8846	17.1538	0.8711
274	squares regression	-1.3691	0.3048	3	109	294	22	2021.2273	22.3182	0.8549
275	stakeholder	0.1151	-0.4804	2	114	167	18	2022.5	11.3333	1.2984
276	standard deviation	0.8117	-0.0892	1	110	170	16	2020.8125	20.9375	0.799
277	station	0.66	0.1126	1	260	928	85	2021.4	16.2471	0.8598
278	statistical model	0.1895	0.5141	1	149	253	19	2020.7895	66.8421	1.982
279	strategy	-0.3207	-0.2815	2	285	1003	110	2022.6727	11.7455	1.2444
280	study period	0.3266	0.3442	1	141	221	16	2022.625	12.6875	0.9295
281	study region	0.4549	0.2006	1	140	193	15	2020.4667	31.0667	1.2359
282	sulfur dioxide	1.0061	-0.2577	1	125	224	17	2020.8824	12.7059	0.5199
283	summer	0.6737	0.5166	1	210	617	48	2021.0417	29.125	1.064
284	superiority	-0.7716	-0.0624	3	132	191	15	2021.6667	21.2667	1.0558
285	support vector machine	-0.6811	0.0293	2	190	462	36	2021.75	18.4444	1.1296
286	support vector regression	-0.616	0.6669	3	143	290	17	2022.3529	13	0.9211
287	surface	0.503	-0.2649	1	294	1369	116	2020.7931	18.25	0.7351
288	sustainable development	-0.475	-0.5596	2	142	244	25	2022.24	19.76	1.305
289	svm	-0.6921	-0.0142	2	185	453	34	2021.7941	15.9412	1.0119
290	svr	-0.708	0.662	3	142	308	18	2022.5	10.1667	0.8289
291	synthetic aperture radar	-0.4917	-0.7091	2	102	176	19	2022	10.3684	0.6305
292	technical support	-0.7174	0.0708	3	167	290	20	2022.55	5.35	0.545
293	temporal distribution	0.2267	0.1164	1	152	263	20	2022.3	7.9	0.8551
294	temporal resolution	0.3621	-0.0912	1	212	515	41	2021.5122	24.9024	1.106
295	top	1.0388	-0.0789	1	116	177	15	2021.9333	16.2	0.7146
296	topography	0.5644	0.0409	1	157	295	23	2020.6522	25.913	0.9322
297	total nitrogen	-1.0691	0.528	3	128	357	22	2022.5455	23.4545	2.2151
298	total phosphorus	-1.0506	0.5849	3	123	323	18	2022.7778	20.9444	2.0833
299	traditional method	-0.8135	0.2897	3	116	177	18	2021.8333	21	1.1719
300	traffic	0.7417	-0.0508	1	148	317	31	2020.2903	13.4194	0.5943
301	transport	0.7412	-0.3646	1	212	579	52	2020.3654	22.1346	0.7876
302	tree	-0.3205	0.3439	3	202	429	32	2022.0938	22.0312	1.0306
303	tropomi	0.8316	-0.4987	1	164	444	35	2022.1429	16.7143	0.9182
304	tropospheric monitoring instrument	0.9103	-0.4514	1	145	369	28	2022.25	15.3571	0.9471
305	turbidity	-1.0173	0.3978	3	146	355	25	2021.68	26.68	1.3898
306	uav	-1.0668	-0.0155	3	153	392	36	2022.5833	14.9722	1.0143
307	uncertainty	0.4914	0.0058	1	246	698	61	2021.0328	20.541	0.8698
308	unmanned aerial vehicle	-1.0705	0.0522	3	155	404	35	2022.4857	19.0857	1.0944
309	urban area	0.7885	-0.1808	1	217	584	53	2021.2264	17.6604	0.7836
310	utilization	-0.0384	-0.5835	2	136	224	24	2022.8333	12.5	1.9325
311	validation	0.5135	0.092	1	245	682	57	2020.8947	33.3333	1.1253
312	variability	0.4655	0.0277	1	250	832	70	2021.6	19.7	1.2143
313	vegetation	-0.5304	-0.2749	2	163	312	30	2021.6333	7.3	0.5508
314	vegetation index	-0.7837	0.1014	3	133	232	21	2021.2857	13.5714	0.5233
315	vehicle	-0.0852	-0.3988	2	121	198	26	2021.0385	12.1154	0.635
316	water	-0.664	-0.22	2	263	1215	119	2021.6303	16.6303	1.181
317	water body	-0.7648	0.173	3	196	485	36	2022.1944	7.7222	0.7661
318	water environment	-0.9232	0.3589	3	111	210	15	2021.6	21.8	1.2787
319	water pollution	-0.7386	-0.037	2	211	672	58	2022.1724	13.3621	1.2989
320	water quality	-0.7951	0.2193	3	244	1095	91	2021.8022	19.7582	1.1725
321	water quality index	-0.7977	-0.0351	2	87	151	13	2022.8462	23.9231	2.0002
322	water quality monitoring	-0.8764	0.3527	3	163	431	33	2022.3939	23.5455	1.3221
323	water quality parameter	-0.9759	0.447	3	179	589	38	2022	15.7105	1.1325
324	water resource	-0.7311	-0.1368	2	155	321	27	2022.3333	20.6667	1.9835
325	weather research	1.1716	-0.2519	1	150	464	34	2020.7353	13.3529	0.544
326	web	0.0329	-0.4142	2	123	169	21	2021.6667	6.7619	0.4123
327	wetland	-0.5946	-0.4459	2	111	192	15	2021.8667	7.7333	0.6307
328	wind	0.741	-0.3109	1	171	332	31	2020.6129	21.8065	0.9405
329	wind speed	0.7659	-0.0243	1	147	283	21	2020.0476	22.9048	0.6967
330	winter	0.8524	0.5395	1	193	616	45	2020.9333	30.2444	1.0448
331	wrf	1.0842	-0.2518	1	121	241	18	2020.7778	17.2778	0.6051
332	wrf chem	1.2582	-0.2478	1	111	252	17	2021.0588	11.2941	0.574
333	xgboost	-0.1068	0.6038	3	200	443	29	2023.069	9.7241	0.8461
